x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007
367.,2.,367.,1.,367.,3.,367.,0.,117.8,0.1131478806,117.8,0.1274698484,117.8,0.0637475220,117.8,0.3336756807
368.5,2.,368.5,0.,368.5,2.,368.5,2.,117.9,0.1131147975,117.9,0.1266793827,117.9,0.0634863601,117.9,0.33461629
370.,1.,370.,0.,370.,5.,370.,2.,118.,0.1130674436,118.,0.1258713780,118.,0.0632479041,118.,0.3355329826
371.5,1.,371.5,0.,371.5,6.,371.5,0.,118.1,0.1130050807,118.1,0.1250484514,118.1,0.0630319587,118.1,0.3364207786
373.,0.,373.,0.,373.,3.,373.,0.,118.2,0.1129270352,118.2,0.124213239,118.2,0.0628382277,118.2,0.3372748295
374.5,0.,374.5,0.,374.5,2.,374.5,1.,118.3,0.1128327024,118.3,0.1233683849,118.3,0.062666316,118.3,0.3380904428
376.,0.,376.,1.,376.,1.,376.,0.,118.4,0.1127215503,118.4,0.1225165306,118.4,0.0625157329,118.4,0.3388631067
377.5,0.,377.5,1.,377.5,0.,377.5,0.,118.5,0.1125931235,118.5,0.1216603049,118.5,0.0623858963,118.5,0.3395885116
379.,0.,379.,0.,379.,1.,379.,1.,118.6,0.1124470462,118.6,0.1208023147,118.6,0.0622761368,118.6,0.3402625719
380.5,1.,380.5,0.,380.5,0.,380.5,1.,118.7,0.1122830254,118.7,0.1199451359,118.7,0.0621857038,118.7,0.3408814445
382.,0.,382.,0.,382.,1.,382.,1.,118.8,0.1121008528,118.8,0.1190913053,118.8,0.0621137709,118.8,0.3414415472
383.5,1.,383.5,0.,383.5,0.,383.5,0.,118.9,0.1119004074,118.9,0.1182433129,118.9,0.0620594435,118.9,0.3419395737
385.,1.,385.,0.,385.,1.,385.,2.,119.,0.1116816568,119.,0.1174035952,119.,0.0620217653,119.,0.3423725078
386.5,0.,386.5,0.,386.5,0.,386.5,0.,119.1,0.1114446585,119.1,0.1165745284,119.1,0.0619997266,119.1,0.3427376350
388.,1.,388.,0.,388.,1.,388.,1.,119.2,0.1111895604,119.2,0.1157584231,119.2,0.0619922723,119.2,0.3430325521
